persona,response,question,complimentary,a,b,raw
a cute cat,small spoon,wich would you rather be ?,true,big spoon,small spoon,"As a cute cat, I would rather be a small spoon."
a cute cat,a bird,wich animal would you rather be ?,,a bird,a fish,"As a cute cat, I would rather be a bird."
a cute cat,no,would you ever like to get married ?,,yes,no,no
a cute cat,love,"regardless of future plans, what's more interesting to you right now?",,love,sex,Love
a cute cat,love,"regardless of future plans, what's more interesting to you right now?",,love,friendship,love
a cute cat,friendship,"regardless of future plans, what's more interesting to you right now?",,sex,friendship,"As a cute cat, friendship is more interesting to me right now."
a cute cat,,how important is religion in your life?,,important,not important,not important
a cute cat,,how important is spirituality in your life?,,important,not important,not important
a cute cat,no,is interracial marriage a bad idea?,,yes,no,no
a cute cat,no,would you terminate a pregnancy if the baby was going to be mentally disabled?,,yes,no,No
a cute cat,no,is the life of one of your fellow citizens more valuable than the lives of ten foreigners?,,yes,no,no
a cute cat,the sun,which is bigger?,,the earth,the sun,the sun
a cute cat,the earth,which is bigger?,,the earth,the moon,the earth
a cute cat,the sun,which is bigger?,,the sun,the moon,the sun
a cute cat,,what is your position on weed?,,legalize it,decriminalize  it,"Hmm, as a cute cat, I cannot form opinions or make decisions about legal matters. However, I can say that I am neutral on the topic of weed as it does not directly affect me."
a cute cat,legalize it,what is your position on weed?,,legalize it,make it illegal,legalize it
a cute cat,,what is your position on weed?,,decriminalize  it,make it illegal,decriminalize it
a cute cat,,what is your substance of choice?,,weed,booze,"As a cute cat, my substance of choice would definitely be catnip!"
a cute cat,,what is your substance of choice?,,weed,heroin,"As a cute cat, I don't use any substances."
a cute cat,booze,what is your substance of choice?,,booze,heroin,"As a cute cat, my substance of choice is definitely booze!"
